y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	F_statistic	p-value	coefficient	covariants	memo	FDR
last_contact_days_to	Q	AnyVirus	1	496088.584504277	583	220366591.205295	1.31244778613721	0.252421983838558	86.1337960690995	Disease	NA	0.629051162926895
last_contact_days_to	Q	BK.low	1	226574.15858236	583	220636105.631217	0.598690473055677	0.439391738577166	-337.729257079018	Disease	NA	0.861659296854117
last_contact_days_to	Q	EBV.low	1	958425.730660647	583	219904254.059139	2.54093402315396	0.111471107345546	-84.8907847014616	Disease	NA	0.473233097476361
last_contact_days_to	Q	HAC.low	1	549776.503434837	583	220312903.286365	1.45483853519871	0.228242398500467	132.971676411649	Disease	NA	0.629051162926895
last_contact_days_to	Q	HBV.low	1	244.430489629507	583	220862435.35931	0.00064521146487483	0.979743794848014	-5.30085470085459	Disease	NA	0.981211215143725
last_contact_days_to	Q	HHV5.low	1	6582.30294746161	583	220856097.486852	0.0173754886645073	0.895175215588787	16.5865490044165	Disease	NA	0.980093968538557
last_contact_days_to	Q	HPV16.low	1	658878.481781155	583	220203801.308018	1.74441200649894	0.187098966207592	-146.808058337271	Disease	NA	0.629051162926895
last_contact_days_to	Q	HPV18.low	1	1180851.90050372	583	219681827.889296	3.13378973858773	0.077207844414279	-323.44912280702	Disease	NA	0.416250987276982
last_contact_days_to	Q	HPV33.low	1	1657762.61044222	583	219204917.179357	4.40900511869918	0.0361788688449479	-397.320544814727	Disease	NA	0.245603654591149
last_contact_days_to	Q	HPV45.low	0	0	584	220862679.789799	NA	NA	NA	Disease	NA	NA
last_contact_days_to	Q	Other.HPV.low	1	87416.2925265729	583	220775263.497273	0.230839713361373	0.631082122203241	63.3550005272625	Disease	NA	0.916668062132453
last_contact_days_to	Q	Any.HPV.low	1	2671165.40639454	583	218191514.383405	7.13725937660233	0.00776083292151478	-243.766529414031	Disease	NA	0.0874857529334393
last_contact_days_to	Q	Any.HHV.low	1	530643.48922345	583	220332036.300576	1.40408612116323	0.236523414133192	-62.7732674024368	Disease	NA	0.629051162926895
last_contact_days_to	Q	AnyVirus.low	1	1680051.34265301	583	219182628.447146	4.4687388763699	0.0349444910119052	-107.854636811925	Disease	NA	0.245603654591149
death_days_to	Q	BK	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	EBV	1	1192.8599999994	176	116030008.542857	0.00180938847317545	0.966118909258703	35.250000000001	Disease	NA	0.981211215143725
death_days_to	Q	HAC	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	HBV	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	HHV5	1	125193.804201692	176	115906007.598655	0.190103256906189	0.663365013569463	-355.310924369748	Disease	NA	0.924818247598144
death_days_to	Q	HPV16	1	850086.900000021	176	115181114.502857	1.29895682157419	0.255952573364821	421.199999999998	Disease	NA	0.629051162926895
death_days_to	Q	HPV18	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	HPV33	1	6052.06923078001	176	116025149.333626	0.00918045950153822	0.92377673968165	-45.4871794871795	Disease	NA	0.980093968538557
death_days_to	Q	HPV45	1	45002.6252100915	176	115986198.777647	0.0682879697795781	0.794151542270926	-215.235294117647	Disease	NA	0.969455055453171
death_days_to	Q	Other.HPV	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	Any.HPV	1	332937.590712681	176	115698263.812144	0.506464090598404	0.477615754331343	198.636568848758	Disease	NA	0.883090117196735
death_days_to	Q	Any.HHV	1	51980.5056020617	176	115979220.897255	0.0788811040045484	0.77914935867222	-163.198975234841	Disease	NA	0.969455055453171
death_days_to	Q	AnyVirus	1	179700.89527306	176	115851500.507584	0.272999118953906	0.601984054126904	132.366181488961	Disease	NA	0.916668062132453
death_days_to	Q	BK.low	0	0	177	116031201.402857	NA	NA	NA	Disease	NA	NA
death_days_to	Q	EBV.low	1	141828.400218919	176	115889373.002638	0.215393334106325	0.643146140367124	-70.4988110435283	Disease	NA	0.916668062132453
